canceledBurstTime,noncanceledBurstTime,nostopBurstTime,canceledBurstOnset,noncanceledBurstOnset,nostopBurstOnset,canceledBurstOffset,noncanceledBurstOffset,nostopBurstOffset,canceledBurstDuration,noncanceledBurstDuration,nostopBurstDuration,canceledBurstVolume,noncanceledBurstVolume,nostopBurstVolume,canceledBurstFreq,noncanceledBurstFreq,nostopBurstFreq,canceledpBurst,noncanceledpBurst,nostoppBurst,monkeyLabel
-290.006774574116,-293.547534256614,-294.916861588633,-138.97084213736,-136.160995000258,-130.820807999042,138.015325771773,133.842464609045,136.710658462018,276.986167909134,270.003459609303,267.53146646106,337775119309.641,301884868260.104,295654212438.583,25.0935831062299,26.0164913089096,25.3567992997014,0.251204819277108,0.197706422018349,0.23469387755102,Euler
-303.467415357144,-295.059962158488,-311.389125710725,-148.488595794884,-127.168662546751,-137.01962401018,139.634877895614,147.738534560428,156.758611499243,288.123473690498,274.907197107179,293.778235509423,183639435083.762,180963802750.26,191523770852.107,25.4076927643443,25.2988985993877,24.5324276579322,0.320149253731343,0.184931506849315,0.241351351351351,Euler
-297.582434608541,-299.413041577744,-293.371071090803,-149.19096841001,-141.826446475545,-143.061943348896,159.054863176904,138.275924171759,143.801614148431,308.245831586914,280.102370647304,286.863557497327,293809794925.733,329840681588.621,254256207209.388,24.71431646069,25.3138780884699,24.7849850288368,0.271764705882353,0.208045977011494,0.237105263157895,Euler
-300.82007222163,-300.426655945585,-296.500675855582,-160.415346494899,-140.696050907383,-147.189880522589,147.46671029539,157.056353461694,150.1731641411,307.882056790289,297.752404369077,297.363044663689,167428045059.743,201880361107.705,211492313192.856,23.5631833155469,24.0247650086331,23.9872267990611,0.189673913043478,0.228481012658228,0.204066985645933,Euler
-304.232780884419,-302.204850713744,-301.004709381114,-138.273550916442,-146.15795577343,-162.506602227454,151.155820403571,149.136411370727,156.776722552544,289.429371320013,295.294367144158,319.283324779998,182143997400.658,181231551150.904,209862156007.556,23.992740197678,23.8080964642268,23.1404064578454,0.256632653061225,0.224725274725275,0.230542986425339,Euler
-290.545127679784,-302.677918520089,-307.072323174463,-132.258464156238,-142.497266148049,-168.273717737411,143.485969944642,142.770914174339,154.393720151,275.74443410088,285.268180322388,322.66743788841,120394877137.517,139346427831.064,164166994216.405,25.0305714688879,23.6442535845132,22.4454757039526,0.19020618556701,0.206666666666667,0.196283783783784,Euler
-298.181810463088,-288.796427107655,-295.699146250616,-251.675503491074,-222.026095684356,-223.722609714408,261.265056157611,250.29980477903,271.146447111544,512.940559648685,472.325900463387,494.869056825952,553432161411.82,734914984070.772,990333154920.131,19.2476301054018,19.4488235711769,19.3156830554962,0.147761194029851,0.148611111111111,0.186131386861314,Xena
-289.370623855127,-277.726386385301,-303.880556523554,-184.47649019893,-209.703812094338,-208.782197865759,173.26481289083,242.945615936208,227.695063267464,357.74130308976,452.649428030546,436.477261133223,160605496865.678,182462057106.128,192210262725.107,20.8216483920565,20.3512315243236,19.5899464629495,0.186486486486486,0.197701149425287,0.2196,Xena
-300.830324760974,-296.494172421523,-303.2547113098,-189.252781246477,-201.415031329987,-217.936065129461,250.073745049022,197.959453587596,209.132538168809,439.326526295499,399.374484917583,427.06860329827,268092823829.017,263164389691.643,278857640301.536,19.267259018094,18.7725514952669,19.6605425177322,0.250793650793651,0.213194444444444,0.213888888888889,Xena
-306.567963832291,-293.724898300894,-295.413208588249,-200.295150941487,-178.112520919414,-185.171396350167,170.817247223162,218.696686656795,201.112985926295,371.11239816465,396.809207576209,386.284382276462,476631412698.38,235282037777.146,200001292485.269,20.9128096275398,20.0831976751412,20.7599814802472,0.280833333333333,0.269463087248322,0.285686274509804,Xena
