lfpID,errorFlag,errorStart,errorEnd,errorDuration,error_pBurst,error_burstMeanTime,monkey
5,1,485,992,507,0.416267942583732,508.383333333333,Euler
6,1,486,934,448,0.339712918660287,524.556818181818,Euler
7,1,460,949,489,0.334928229665072,508.71875,Euler
8,1,466,944,478,0.354066985645933,516.857142857143,Euler
9,1,511,952,441,0.330143540669856,529.966292134831,Euler
10,1,403,904,501,0.45933014354067,515.414634146341,Euler
11,1,395,925,530,0.507177033492823,512.692857142857,Euler
12,1,425,902,477,0.45933014354067,506.646616541353,Euler
13,1,398,888,490,0.449760765550239,504.573426573427,Euler
14,1,422,905,483,0.406698564593301,505.084615384615,Euler
15,1,454,932,478,0.411483253588517,514.628099173554,Euler
16,1,439,935,496,0.37799043062201,510.136363636364,Euler
17,1,391,941,550,0.37799043062201,521.642276422764,Euler
18,1,447,941,494,0.373205741626794,527.464566929134,Euler
19,1,405,946,541,0.421052631578947,521.692913385827,Euler
20,1,479,946,467,0.401913875598086,525.025423728814,Euler
21,1,466,946,480,0.358851674641148,514.972222222222,Euler
22,1,455,945,490,0.38755980861244,522.116071428571,Euler
23,1,460,949,489,0.301435406698565,525.428571428571,Euler
24,1,469,945,476,0.282296650717703,532.465753424658,Euler
29,1,408,922,514,0.510489510489511,511.728070175439,Euler
30,1,401,898,497,0.587412587412587,501.371212121212,Euler
31,1,367,421,54,0.552447552447552,489.646616541353,Euler
32,1,431,903,472,0.552447552447552,492.112068965517,Euler
33,1,380,924,544,0.566433566433566,497.345454545455,Euler
34,1,360,935,575,0.573426573426573,495.698275862069,Euler
35,1,356,931,575,0.552447552447552,491.008620689655,Euler
36,1,366,925,559,0.566433566433566,501.793388429752,Euler
37,1,388,924,536,0.545454545454545,505.224137931034,Euler
38,1,355,927,572,0.587412587412587,506.176923076923,Euler
39,1,366,930,564,0.58041958041958,504.866666666667,Euler
40,1,468,938,470,0.468531468531469,521.71568627451,Euler
41,1,472,932,460,0.440559440559441,528.103092783505,Euler
42,1,472,954,482,0.447552447552448,528.964705882353,Euler
43,1,477,935,458,0.405594405594406,532.797297297297,Euler
44,1,481,955,474,0.391608391608392,538.295774647887,Euler
45,1,485,939,454,0.412587412587413,532.987179487179,Euler
46,1,474,942,468,0.391608391608392,534.925925925926,Euler
47,1,472,945,473,0.391608391608392,539.085714285714,Euler
48,1,449,948,499,0.433566433566434,534.670731707317,Euler
53,1,494,992,498,0.384615384615385,513.163043478261,Euler
54,1,512,976,464,0.372781065088757,519.444444444444,Euler
55,1,518,987,469,0.390532544378698,510.147727272727,Euler
56,1,526,962,436,0.366863905325444,529.525,Euler
57,1,534,959,425,0.443786982248521,495.479591836735,Euler
58,1,459,951,492,0.461538461538462,499.225490196078,Euler
59,1,520,950,430,0.467455621301775,503.118811881188,Euler
60,1,504,972,468,0.414201183431953,499.43956043956,Euler
61,1,533,970,437,0.437869822485207,501.720430107527,Euler
62,1,445,990,545,0.42603550295858,495.857142857143,Euler
63,1,534,992,458,0.408284023668639,497.902912621359,Euler
64,1,449,994,545,0.443786982248521,506.875,Euler
65,1,448,1502,1054,0.431952662721893,511.833333333333,Euler
66,1,448,1007,559,0.414201183431953,505.173469387755,Euler
67,1,473,998,525,0.372781065088757,506.094117647059,Euler
68,1,457,1009,552,0.313609467455621,514.986301369863,Euler
69,1,506,1113,607,0.260355029585799,509.75,Euler
70,1,502,1227,725,0.284023668639053,510.5,Euler
71,1,510,1030,520,0.266272189349112,513.98275862069,Euler
72,1,491,1163,672,0.272189349112426,513.761904761905,Euler
77,1,465,922,457,0.449197860962567,511.882352941176,Euler
78,1,450,910,460,0.433155080213904,510.134453781513,Euler
79,1,451,965,514,0.39572192513369,505.757281553398,Euler
80,1,501,952,451,0.385026737967914,516.617021276596,Euler
81,1,473,994,521,0.411764705882353,512.160377358491,Euler
82,1,478,951,473,0.449197860962567,500.87037037037,Euler
83,1,461,948,487,0.491978609625668,509.422413793103,Euler
84,1,449,955,506,0.513368983957219,515.534351145038,Euler
85,1,458,943,485,0.502673796791444,508.977272727273,Euler
86,1,478,987,509,0.491978609625668,513.462686567164,Euler
87,1,474,993,519,0.427807486631016,528.184210526316,Euler
88,1,494,964,470,0.417112299465241,532.58,Euler
89,1,511,957,446,0.358288770053476,534.681818181818,Euler
90,1,493,968,475,0.374331550802139,533.097826086957,Euler
91,1,506,981,475,0.320855614973262,532.944444444444,Euler
92,1,513,962,449,0.315508021390374,536.776315789474,Euler
93,1,518,688,170,0.320855614973262,537.410256410256,Euler
94,1,494,680,186,0.315508021390374,543.543209876543,Euler
95,1,500,673,173,0.310160427807487,530.878378378378,Euler
96,1,489,686,197,0.304812834224599,539.848101265823,Euler
101,1,475,987,512,0.411764705882353,516.337078651685,Euler
102,1,487,961,474,0.427807486631016,507.40404040404,Euler
103,1,497,972,475,0.385026737967914,496.777777777778,Euler
104,1,490,994,504,0.352941176470588,504.52380952381,Euler
105,1,496,1100,604,0.32620320855615,499.86301369863,Euler
106,1,451,982,531,0.342245989304813,498.391891891892,Euler
107,1,387,984,597,0.417112299465241,503.384615384615,Euler
