LFPidx,channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,baseline_200_pBurst,target_200_pBurst,stopping_baseline_canceled,stopping_baseline_noncanc,stopping_baseline_nostop,stopping_ssd_canceled,stopping_ssd_noncanc,stopping_ssd_nostop,stopping_canceledBurstTime,stopping_noncanceledBurstTime,stopping_nostopBurstTime,stopping_canceledBurstOnset,stopping_noncanceledBurstOnset,stopping_nostopBurstOnset,stopping_canceledBurstOffset,stopping_noncanceledBurstOffset,stopping_nostopBurstOffset,stopping_canceledBurstDuration,stopping_noncanceledBurstDuration,stopping_nostopBurstDuration,stopping_canceledBurstVolume,stopping_noncanceledBurstVolume,stopping_nostopBurstVolume,stopping_canceledBurstFreq,stopping_noncanceledBurstFreq,stopping_nostopBurstFreq,error_noncanceled_pBurst,error_nostop_pBurst,error_noncanceledBurstTime,error_nostopBurstTime,error_noncanceledBurstOnset,error_nostopBurstOnset,error_noncanceledBurstOffset,error_nostopBurstOffset,error_noncanceledBurstDuration,error_nostopBurstDuration,error_noncanceledBurstVolume,error_nostopBurstVolume,error_noncanceledBurstFreq,error_nostopBurstFreq
1,5,1,eulsef20120904c-01,AD21,1,4,np1,0,NaN,0,Euler,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00478468899521531,0,553.5,NaN,-135,NaN,251,NaN,386,NaN,501447043859.038,NaN,25.5,NaN
2,6,1,eulsef20120904c-01,AD22,1,4,np1,0,NaN,0,Euler,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,7,1,eulsef20120904c-01,AD23,1,4,np1,0,NaN,0,Euler,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,8,1,eulsef20120904c-01,AD24,1,4,np1,0,NaN,0,Euler,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0191387559808612,0,552,NaN,-299.8,NaN,333.8,NaN,633.6,NaN,664662039426.628,NaN,23.4,NaN
5,9,1,eulsef20120904c-01,AD25,1,4,np1,0,NaN,0,Euler,0.132701421800948,0.11563981042654,0.0622222222222222,0.110047846889952,0.0998003992015968,0.0444444444444444,0.0478468899521531,0.0858283433133733,57.1333333333333,78.2857142857143,63.7222222222222,-162.4,-132.357142857143,-153.796296296296,149.933333333333,132.571428571429,138.981481481481,312.333333333333,264.928571428571,292.777777777778,354655720336.801,303376955491.826,281115463539.366,24.2,24,24.1481481481481,0.315789473684211,0.0818363273453094,531.698795180723,469.979166666667,-147.481927710843,-146.041666666667,198.168674698795,154.208333333333,345.650602409639,300.25,572548146847.5,282691349780.304,25.3132530120482,24.375
6,10,1,eulsef20120904c-01,AD26,1,4,np1,0,NaN,0,Euler,0.158293838862559,0.0644549763033175,0.0977777777777778,0.119617224880383,0.117764471057884,0.0222222222222222,0.0382775119617225,0.0439121756487026,66.6,84.25,73.9259259259259,-126.4,-110.375,-130.592592592593,104,120,109.407407407407,230.4,230.375,240,172285319646.529,214709311138.92,251538986424.719,27.6,26.75,25.8518518518519,0.440191387559809,0.0958083832335329,519.504201680672,490.692307692308,-146.176470588235,-156.096153846154,249.798319327731,147.076923076923,395.974789915966,303.173076923077,978253317358.226,263127134063.579,25.8823529411765,26.2307692307692
7,11,1,eulsef20120904c-01,AD27,1,4,np1,0,NaN,0,Euler,0.206635071090047,0.0635071090047393,0.173333333333333,0.129186602870813,0.145708582834331,0.04,0.0287081339712919,0.0259481037924152,63.5555555555556,63.75,72.8,-164,-95.75,-114.2,98.6666666666667,82.875,134.866666666667,262.666666666667,178.625,249.066666666667,242979427728.757,129693066178.953,208518783030.268,25.4444444444444,26.875,25.9333333333333,0.516746411483254,0.187624750499002,511.902777777778,484.183486238532,-137.819444444444,-138.532110091743,267.847222222222,141.559633027523,405.666666666667,280.091743119266,1055107361660.15,288212734848.332,26.1319444444444,25.9816513761468
8,12,1,eulsef20120904c-01,AD28,1,4,np1,0,NaN,0,Euler,0.307109004739336,0.211374407582938,0.191111111111111,0.239234449760766,0.221556886227545,0.0844444444444444,0.076555023923445,0.0958083832335329,47.1142857142857,64,67.5066666666667,-135.171428571429,-94.25,-140.706666666667,141.371428571429,106.05,130.133333333333,276.542857142857,200.3,270.84,319346144233.99,199290250020.262,235582007658.724,23.1714285714286,25.55,24.3733333333333,0.588516746411483,0.457085828343313,489.26368159204,462.463022508039,-137.825870646766,-128.990353697749,253.597014925373,150.418006430868,391.422885572139,279.408360128617,1230899030262.6,308246295544.406,25.7512437810945,25.7138263665595
9,13,1,eulsef20120904c-01,AD29,1,4,np1,0,NaN,0,Euler,0.370616113744076,0.332701421800948,0.257777777777778,0.244019138755981,0.261477045908184,0.173333333333333,0.129186602870813,0.135728542914172,60.6842105263158,75.0645161290323,59.5470085470085,-145.385964912281,-97,-126.948717948718,140.561403508772,124.677419354839,120.145299145299,285.947368421053,221.677419354839,247.094017094017,325578558071.737,202461031013.658,253918342605.317,22.0350877192982,24.4516129032258,23.2222222222222,0.636363636363636,0.530938123752495,485.449339207048,466.733681462141,-136.405286343612,-122.43864229765,248.757709251101,149.767624020888,385.162995594714,272.206266318538,1156706354220.58,308375402756.006,25.7092511013216,25.3655352480418
10,14,1,eulsef20120904c-01,AD30,1,4,np1,0,NaN,0,Euler,0.330805687203791,0.325118483412322,0.248888888888889,0.205741626794258,0.227544910179641,0.177777777777778,0.0813397129186603,0.137724550898204,55.5892857142857,64.972972972973,61.1607142857143,-131.928571428571,-144.108108108108,-118.321428571429,146.035714285714,127.027027027027,128.973214285714,277.964285714286,271.135135135135,247.294642857143,305078128992.862,263675550443.048,302560895710.221,23.1607142857143,22.5405405405405,23.4017857142857,0.598086124401914,0.508982035928144,486.607655502392,468.398843930636,-131.502392344498,-123.341040462428,229.526315789474,150.309248554913,361.028708133971,273.650289017341,1075935852212.75,297827267201.145,25.9521531100478,25.3439306358381
