channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixTime_pBurst_lfp,stopTime_pBurst_lfp,cancelTime_pBurst_lfp,toneTime_pBurst_lfp,errorTime_pBurst_lfp,laminar,upper_lower
6,14,eulsef20120910c-01,AD22,1,1,p1,1,1,0,Euler,0.235555555555556,0.102222222222222,0.24,0.342222222222222,0.51937984496124,L2,Upper
7,14,eulsef20120910c-01,AD23,1,1,p1,1,2,0,Euler,0.32,0.128888888888889,0.386666666666667,0.364444444444444,0.651162790697674,L2,Upper
8,14,eulsef20120910c-01,AD24,1,1,p1,1,3,0,Euler,0.337777777777778,0.177777777777778,0.417777777777778,0.355555555555556,0.705426356589147,L2,Upper
9,14,eulsef20120910c-01,AD25,1,1,p1,1,4,0,Euler,0.36,0.106666666666667,0.417777777777778,0.377777777777778,0.689922480620155,L2,Upper
10,14,eulsef20120910c-01,AD26,1,1,p1,1,5,0,Euler,0.266666666666667,0.08,0.288888888888889,0.275555555555556,0.51937984496124,L3,Upper
11,14,eulsef20120910c-01,AD27,1,1,p1,1,6,0,Euler,0.333333333333333,0.2,0.328888888888889,0.333333333333333,0.612403100775194,L3,Upper
12,14,eulsef20120910c-01,AD28,1,1,p1,1,7,0,Euler,0.253333333333333,0.151111111111111,0.315555555555556,0.28,0.558139534883721,L3,Upper
13,14,eulsef20120910c-01,AD29,1,1,p1,1,8,0,Euler,0.266666666666667,0.128888888888889,0.328888888888889,0.342222222222222,0.565891472868217,L3,Upper
14,14,eulsef20120910c-01,AD30,1,1,p1,1,9,0,Euler,0.244444444444444,0.111111111111111,0.315555555555556,0.311111111111111,0.550387596899225,L5,Lower
15,14,eulsef20120910c-01,AD31,1,1,p1,1,10,0,Euler,0.191111111111111,0.0711111111111111,0.191111111111111,0.231111111111111,0.434108527131783,L5,Lower
16,14,eulsef20120910c-01,AD32,1,1,p1,1,11,0,Euler,0.168888888888889,0.0622222222222222,0.186666666666667,0.164444444444444,0.37984496124031,L5,Lower
17,14,eulsef20120910c-01,AD33,1,1,p1,1,12,0,Euler,0.133333333333333,0.0355555555555556,0.12,0.12,0.302325581395349,L5,Lower
18,14,eulsef20120910c-01,AD34,1,1,p1,1,13,0,Euler,0.124444444444444,0.0266666666666667,0.0933333333333333,0.0755555555555556,0.186046511627907,L6,Lower
19,14,eulsef20120910c-01,AD35,1,1,p1,1,14,0,Euler,0.0488888888888889,0.0177777777777778,0.0444444444444444,0.04,0.178294573643411,L6,Lower
20,14,eulsef20120910c-01,AD36,1,1,p1,1,15,0,Euler,0.0311111111111111,0.0177777777777778,0.00444444444444444,0.00888888888888889,0.13953488372093,L6,Lower
21,14,eulsef20120910c-01,AD37,1,1,p1,1,16,0,Euler,0.0355555555555556,0.0133333333333333,0.00444444444444444,0.00888888888888889,0.124031007751938,L6,Lower
22,14,eulsef20120910c-01,AD38,1,1,p1,1,17,0,Euler,0.0311111111111111,0.0177777777777778,0.00444444444444444,0,0.108527131782946,L6,Lower
