Channel,Session,Monkey,fixation_nostop,fixation_canceled,fixation_noncanceled,target_nostop,target_canceled,target_noncanceled,postaction_early_nostop,postaction_early_canceled,postaction_early_noncanceled,postaction_late_nostop,postaction_late_canceled,postaction_late_noncanceled,tone_nostop,tone_canceled,tone_noncanceled
5,1,Euler,0,0,0,0,0,0,0,0,0,0,0,0.00478468899521531,0,0,0
6,1,Euler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,Euler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,Euler,0,0,0,0,0,0,0,0,0,0,0,0.0191387559808612,0,0,0
9,1,Euler,0.143712574850299,0.0844444444444444,0.129186602870813,0.125748502994012,0.0977777777777778,0.0956937799043062,0.0419161676646707,0.142222222222222,0.0861244019138756,0.0698602794411178,0.155555555555556,0.287081339712919,0.149700598802395,0.111111111111111,0.148325358851675
10,1,Euler,0.155688622754491,0.155555555555556,0.167464114832536,0.0658682634730539,0.0533333333333333,0.0478468899521531,0.0499001996007984,0.151111111111111,0.0239234449760766,0.0838323353293413,0.244444444444444,0.421052631578947,0.245508982035928,0.142222222222222,0.320574162679426
11,1,Euler,0.209580838323353,0.208888888888889,0.200956937799043,0.0459081836327345,0.0622222222222222,0.0861244019138756,0.0538922155688623,0.231111111111111,0.0143540669856459,0.147704590818363,0.315555555555556,0.497607655502392,0.351297405189621,0.204444444444444,0.425837320574163
12,1,Euler,0.291417165668663,0.297777777777778,0.330143540669856,0.213572854291417,0.182222222222222,0.239234449760766,0.141716566866267,0.413333333333333,0.129186602870813,0.369261477045908,0.475555555555556,0.550239234449761,0.516966067864271,0.346666666666667,0.526315789473684
13,1,Euler,0.36127744510978,0.391111111111111,0.358851674641148,0.337325349301397,0.337777777777778,0.30622009569378,0.19560878243513,0.493333333333333,0.181818181818182,0.437125748502994,0.546666666666667,0.583732057416268,0.538922155688623,0.386666666666667,0.559808612440191
14,1,Euler,0.327345309381238,0.333333333333333,0.311004784688995,0.315369261477046,0.324444444444444,0.311004784688995,0.19560878243513,0.462222222222222,0.186602870813397,0.419161676646707,0.537777777777778,0.545454545454545,0.530938123752495,0.364444444444444,0.5311004784689
15,1,Euler,0.327345309381238,0.311111111111111,0.339712918660287,0.337325349301397,0.328888888888889,0.349282296650718,0.211576846307385,0.475555555555556,0.172248803827751,0.409181636726547,0.48,0.569377990430622,0.481037924151697,0.377777777777778,0.521531100478469
16,1,Euler,0.301397205588822,0.342222222222222,0.330143540669856,0.269461077844311,0.284444444444444,0.315789473684211,0.197604790419162,0.404444444444444,0.196172248803828,0.335329341317365,0.435555555555556,0.526315789473684,0.445109780439122,0.36,0.488038277511962
17,1,Euler,0.389221556886228,0.462222222222222,0.430622009569378,0.365269461077844,0.311111111111111,0.382775119617225,0.281437125748503,0.435555555555556,0.296650717703349,0.401197604790419,0.502222222222222,0.607655502392344,0.526946107784431,0.471111111111111,0.574162679425837
18,1,Euler,0.437125748502994,0.471111111111111,0.464114832535885,0.419161676646707,0.44,0.401913875598086,0.261477045908184,0.395555555555556,0.272727272727273,0.383233532934132,0.511111111111111,0.650717703349282,0.520958083832335,0.448888888888889,0.564593301435407
19,1,Euler,0.401197604790419,0.417777777777778,0.382775119617225,0.403193612774451,0.351111111111111,0.392344497607655,0.211576846307385,0.337777777777778,0.272727272727273,0.389221556886228,0.448888888888889,0.583732057416268,0.475049900199601,0.32,0.550239234449761
20,1,Euler,0.271457085828343,0.266666666666667,0.258373205741627,0.36127744510978,0.315555555555556,0.373205741626794,0.173652694610778,0.28,0.215311004784689,0.307385229540918,0.377777777777778,0.574162679425837,0.417165668662675,0.284444444444444,0.559808612440191
21,1,Euler,0.253493013972056,0.244444444444444,0.229665071770335,0.335329341317365,0.302222222222222,0.354066985645933,0.141716566866267,0.235555555555556,0.129186602870813,0.311377245508982,0.315555555555556,0.564593301435407,0.42315369261477,0.24,0.507177033492823
22,1,Euler,0.235528942115768,0.231111111111111,0.196172248803828,0.287425149700599,0.32,0.272727272727273,0.121756487025948,0.222222222222222,0.124401913875598,0.251497005988024,0.297777777777778,0.507177033492823,0.407185628742515,0.217777777777778,0.488038277511962
23,1,Euler,0.167664670658683,0.173333333333333,0.162679425837321,0.233532934131737,0.253333333333333,0.23444976076555,0.0598802395209581,0.137777777777778,0.114832535885167,0.181636726546906,0.208888888888889,0.382775119617225,0.333333333333333,0.182222222222222,0.339712918660287
24,1,Euler,0.147704590818363,0.133333333333333,0.157894736842105,0.197604790419162,0.191111111111111,0.186602870813397,0.031936127744511,0.137777777777778,0.0478468899521531,0.151696606786427,0.204444444444444,0.320574162679426,0.25748502994012,0.0933333333333333,0.239234449760766
5,2,Euler,0.0796252927400468,0.0686274509803922,0.048951048951049,0.0234192037470726,0.0245098039215686,0.027972027972028,0.0304449648711944,0.0980392156862745,0.013986013986014,0.0562060889929742,0.161764705882353,0.426573426573427,0.138173302107728,0.0980392156862745,0.251748251748252
6,2,Euler,0.161592505854801,0.151960784313725,0.125874125874126,0.0398126463700234,0.0588235294117647,0.0559440559440559,0.0889929742388759,0.166666666666667,0.020979020979021,0.203747072599532,0.323529411764706,0.573426573426573,0.250585480093677,0.17156862745098,0.433566433566434
7,2,Euler,0.318501170960187,0.25,0.286713286713287,0.173302107728337,0.205882352941176,0.188811188811189,0.152224824355972,0.308823529411765,0.0909090909090909,0.346604215456674,0.534313725490196,0.678321678321678,0.451990632318501,0.274509803921569,0.594405594405594
8,2,Euler,0.34192037470726,0.313725490196078,0.328671328671329,0.288056206088993,0.303921568627451,0.300699300699301,0.241217798594848,0.362745098039216,0.181818181818182,0.405152224824356,0.588235294117647,0.664335664335664,0.426229508196721,0.352941176470588,0.601398601398601
9,2,Euler,0.330210772833724,0.284313725490196,0.272727272727273,0.337236533957845,0.362745098039216,0.321678321678322,0.201405152224824,0.377450980392157,0.237762237762238,0.358313817330211,0.573529411764706,0.685314685314685,0.430913348946136,0.284313725490196,0.573426573426573
10,2,Euler,0.269320843091335,0.240196078431373,0.251748251748252,0.311475409836066,0.357843137254902,0.307692307692308,0.189695550351288,0.318627450980392,0.20979020979021,0.299765807962529,0.46078431372549,0.678321678321678,0.391100702576112,0.269607843137255,0.608391608391608
11,2,Euler,0.266978922716628,0.220588235294118,0.223776223776224,0.318501170960187,0.362745098039216,0.363636363636364,0.182669789227166,0.284313725490196,0.237762237762238,0.318501170960187,0.46078431372549,0.657342657342657,0.379391100702576,0.294117647058824,0.587412587412587
12,2,Euler,0.330210772833724,0.230392156862745,0.244755244755245,0.421545667447307,0.411764705882353,0.391608391608392,0.206088992974239,0.269607843137255,0.237762237762238,0.302107728337237,0.441176470588235,0.664335664335664,0.433255269320843,0.299019607843137,0.538461538461538
13,2,Euler,0.306791569086651,0.245098039215686,0.258741258741259,0.454332552693208,0.42156862745098,0.454545454545455,0.231850117096019,0.284313725490196,0.251748251748252,0.311475409836066,0.431372549019608,0.727272727272727,0.433255269320843,0.294117647058824,0.587412587412587
14,2,Euler,0.26463700234192,0.21078431372549,0.216783216783217,0.43559718969555,0.406862745098039,0.440559440559441,0.213114754098361,0.215686274509804,0.174825174825175,0.330210772833724,0.313725490196078,0.734265734265734,0.4192037470726,0.259803921568627,0.587412587412587
15,2,Euler,0.269320843091335,0.220588235294118,0.251748251748252,0.400468384074941,0.387254901960784,0.41958041958042,0.22248243559719,0.191176470588235,0.167832167832168,0.351288056206089,0.387254901960784,0.699300699300699,0.402810304449649,0.313725490196078,0.552447552447552
16,2,Euler,0.274004683840749,0.264705882352941,0.258741258741259,0.43559718969555,0.42156862745098,0.454545454545455,0.199063231850117,0.181372549019608,0.160839160839161,0.362997658079625,0.367647058823529,0.65034965034965,0.426229508196721,0.338235294117647,0.510489510489511
17,2,Euler,0.231850117096019,0.220588235294118,0.223776223776224,0.416861826697892,0.338235294117647,0.377622377622378,0.163934426229508,0.127450980392157,0.153846153846154,0.323185011709602,0.318627450980392,0.566433566433566,0.381733021077283,0.259803921568627,0.41958041958042
18,2,Euler,0.220140515222482,0.225490196078431,0.20979020979021,0.377049180327869,0.333333333333333,0.342657342657343,0.133489461358314,0.102941176470588,0.146853146853147,0.243559718969555,0.284313725490196,0.510489510489511,0.304449648711944,0.220588235294118,0.335664335664336
19,2,Euler,0.187353629976581,0.166666666666667,0.202797202797203,0.304449648711944,0.264705882352941,0.321678321678322,0.0843091334894614,0.0980392156862745,0.0909090909090909,0.224824355971897,0.230392156862745,0.48951048951049,0.26463700234192,0.200980392156863,0.300699300699301
20,2,Euler,0.154566744730679,0.142156862745098,0.174825174825175,0.259953161592506,0.215686274509804,0.27972027972028,0.0655737704918033,0.0686274509803922,0.0839160839160839,0.154566744730679,0.17156862745098,0.41958041958042,0.194379391100703,0.142156862745098,0.251748251748252
21,2,Euler,0.140515222482436,0.127450980392157,0.13986013986014,0.274004683840749,0.220588235294118,0.244755244755245,0.063231850117096,0.0588235294117647,0.0699300699300699,0.159250585480094,0.151960784313725,0.482517482517482,0.220140515222482,0.122549019607843,0.286713286713287
22,2,Euler,0.168618266978923,0.127450980392157,0.188811188811189,0.297423887587822,0.235294117647059,0.237762237762238,0.0608899297423888,0.0686274509803922,0.0839160839160839,0.142857142857143,0.17156862745098,0.468531468531469,0.203747072599532,0.122549019607843,0.27972027972028
23,2,Euler,0.180327868852459,0.112745098039216,0.181818181818182,0.295081967213115,0.240196078431373,0.293706293706294,0.0562060889929742,0.0735294117647059,0.0909090909090909,0.133489461358314,0.17156862745098,0.475524475524476,0.19672131147541,0.117647058823529,0.265734265734266
24,2,Euler,0.173302107728337,0.122549019607843,0.160839160839161,0.283372365339578,0.25,0.286713286713287,0.0585480093676815,0.0637254901960784,0.0559440559440559,0.112412177985948,0.142156862745098,0.468531468531469,0.180327868852459,0.137254901960784,0.223776223776224
5,3,Euler,0,0,0.00591715976331361,0,0,0,0,0,0,0,0,0.029585798816568,0,0,0.00591715976331361
6,3,Euler,0,0,0.00591715976331361,0,0,0,0,0,0,0,0,0.0473372781065089,0,0,0.00591715976331361
7,3,Euler,0,0.0040650406504065,0.00591715976331361,0,0,0,0,0,0,0,0,0.0473372781065089,0.00215982721382289,0,0
8,3,Euler,0.0928725701943845,0.0691056910569106,0.0650887573964497,0.0172786177105832,0.0121951219512195,0.029585798816568,0.0237580993520518,0.0731707317073171,0.00591715976331361,0.0669546436285097,0.150406504065041,0.248520710059172,0.116630669546436,0.032520325203252,0.14792899408284
9,3,Euler,0.259179265658747,0.280487804878049,0.272189349112426,0.0907127429805616,0.0894308943089431,0.136094674556213,0.103671706263499,0.247967479674797,0.0532544378698225,0.254859611231102,0.373983739837398,0.467455621301775,0.352051835853132,0.154471544715447,0.390532544378698
10,3,Euler,0.375809935205184,0.426829268292683,0.378698224852071,0.250539956803456,0.24390243902439,0.36094674556213,0.235421166306695,0.40650406504065,0.236686390532544,0.406047516198704,0.51219512195122,0.63905325443787,0.518358531317495,0.308943089430894,0.532544378698225
11,3,Euler,0.380129589632829,0.471544715447154,0.408284023668639,0.315334773218143,0.284552845528455,0.378698224852071,0.254859611231102,0.402439024390244,0.254437869822485,0.406047516198704,0.544715447154472,0.621301775147929,0.542116630669546,0.369918699186992,0.57396449704142
12,3,Euler,0.414686825053996,0.430894308943089,0.449704142011834,0.371490280777538,0.353658536585366,0.420118343195266,0.244060475161987,0.394308943089431,0.27810650887574,0.401727861771058,0.516260162601626,0.609467455621302,0.481641468682505,0.345528455284553,0.550295857988166
13,3,Euler,0.380129589632829,0.357723577235772,0.355029585798817,0.315334773218143,0.296747967479675,0.366863905325444,0.207343412526998,0.296747967479675,0.21301775147929,0.330453563714903,0.463414634146341,0.568047337278107,0.462203023758099,0.239837398373984,0.532544378698225
14,3,Euler,0.408207343412527,0.386178861788618,0.366863905325444,0.371490280777538,0.378048780487805,0.408284023668639,0.287257019438445,0.349593495934959,0.254437869822485,0.382289416846652,0.528455284552846,0.544378698224852,0.481641468682505,0.345528455284553,0.497041420118343
15,3,Euler,0.503239740820734,0.443089430894309,0.497041420118343,0.431965442764579,0.524390243902439,0.538461538461538,0.390928725701944,0.467479674796748,0.390532544378698,0.485961123110151,0.597560975609756,0.627218934911243,0.639308855291577,0.447154471544715,0.597633136094675
16,3,Euler,0.354211663066955,0.349593495934959,0.349112426035503,0.377969762419006,0.345528455284553,0.355029585798817,0.257019438444924,0.349593495934959,0.266272189349112,0.399568034557235,0.504065040650406,0.579881656804734,0.50755939524838,0.272357723577236,0.556213017751479
17,3,Euler,0.295896328293737,0.276422764227642,0.36094674556213,0.393088552915767,0.33739837398374,0.378698224852071,0.250539956803456,0.317073170731707,0.224852071005917,0.380129589632829,0.443089430894309,0.591715976331361,0.47732181425486,0.272357723577236,0.544378698224852
18,3,Euler,0.280777537796976,0.247967479674797,0.289940828402367,0.319654427645788,0.296747967479675,0.36094674556213,0.215982721382289,0.276422764227642,0.21301775147929,0.326133909287257,0.394308943089431,0.532544378698225,0.436285097192225,0.199186991869919,0.479289940828402
19,3,Euler,0.265658747300216,0.211382113821138,0.29585798816568,0.285097192224622,0.329268292682927,0.343195266272189,0.142548596112311,0.191056910569106,0.153846153846154,0.287257019438445,0.394308943089431,0.455621301775148,0.34341252699784,0.166666666666667,0.42603550295858
20,3,Euler,0.196544276457883,0.154471544715447,0.236686390532544,0.198704103671706,0.239837398373984,0.284023668639053,0.0885529157667387,0.138211382113821,0.100591715976331,0.138228941684665,0.284552845528455,0.337278106508876,0.280777537796976,0.0934959349593496,0.266272189349112
21,3,Euler,0.187904967602592,0.138211382113821,0.171597633136095,0.146868250539957,0.150406504065041,0.218934911242604,0.0496760259179266,0.0650406504065041,0.100591715976331,0.0863930885529158,0.247967479674797,0.254437869822485,0.19438444924406,0.0528455284552846,0.183431952662722
22,3,Euler,0.168466522678186,0.134146341463415,0.165680473372781,0.127429805615551,0.150406504065041,0.207100591715976,0.0215982721382289,0.0691056910569106,0.0414201183431953,0.0842332613390929,0.25609756097561,0.260355029585799,0.166306695464363,0.0691056910569106,0.171597633136095
23,3,Euler,0.151187904967603,0.109756097560976,0.183431952662722,0.0863930885529158,0.117886178861789,0.142011834319527,0.0215982721382289,0.0528455284552846,0.0473372781065089,0.0496760259179266,0.203252032520325,0.242603550295858,0.107991360691145,0.0365853658536585,0.153846153846154
24,3,Euler,0.155507559395248,0.121951219512195,0.159763313609467,0.0777537796976242,0.0934959349593496,0.106508875739645,0.0215982721382289,0.0528455284552846,0.0236686390532544,0.0561555075593952,0.203252032520325,0.236686390532544,0.11231101511879,0.0203252032520325,0.142011834319527
5,4,Euler,0.207339449541284,0.197183098591549,0.192513368983957,0.0899082568807339,0.0915492957746479,0.101604278074866,0.0990825688073395,0.200704225352113,0.0855614973262032,0.211009174311927,0.299295774647887,0.486631016042781,0.377981651376147,0.183098591549296,0.320855614973262
6,4,Euler,0.354128440366972,0.316901408450704,0.358288770053476,0.284403669724771,0.27112676056338,0.363636363636364,0.26605504587156,0.373239436619718,0.192513368983957,0.411009174311927,0.53169014084507,0.614973262032086,0.522935779816514,0.345070422535211,0.433155080213904
7,4,Euler,0.381651376146789,0.366197183098592,0.379679144385027,0.392660550458716,0.419014084507042,0.486631016042781,0.310091743119266,0.457746478873239,0.272727272727273,0.511926605504587,0.619718309859155,0.647058823529412,0.609174311926606,0.440140845070423,0.497326203208556
8,4,Euler,0.38348623853211,0.334507042253521,0.374331550802139,0.392660550458716,0.362676056338028,0.449197860962567,0.328440366972477,0.415492957746479,0.288770053475936,0.504587155963303,0.573943661971831,0.684491978609626,0.544954128440367,0.440140845070423,0.540106951871658
9,4,Euler,0.376146788990826,0.348591549295775,0.32620320855615,0.372477064220184,0.369718309859155,0.459893048128342,0.322935779816514,0.366197183098592,0.25668449197861,0.471559633027523,0.52112676056338,0.657754010695187,0.500917431192661,0.419014084507042,0.577540106951872
10,4,Euler,0.324770642201835,0.316901408450704,0.310160427807487,0.346788990825688,0.334507042253521,0.406417112299465,0.306422018348624,0.373239436619718,0.304812834224599,0.422018348623853,0.48943661971831,0.647058823529412,0.495412844036697,0.373239436619718,0.513368983957219
11,4,Euler,0.326605504587156,0.323943661971831,0.347593582887701,0.363302752293578,0.408450704225352,0.438502673796791,0.293577981651376,0.380281690140845,0.25668449197861,0.431192660550459,0.48943661971831,0.689839572192513,0.515596330275229,0.426056338028169,0.53475935828877
