channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixTime_pBurst_lfp,stopTime_pBurst_lfp,cancelTime_pBurst_lfp,toneTime_pBurst_lfp,errorTime_pBurst_lfp,laminar,upper_lower
6,14,eulsef20120910c-01,AD22,1,1,p1,1,1,0,Euler,0.235555555555556,0.0622222222222222,0.2,0.324444444444444,0.449612403100775,L2,Upper
7,14,eulsef20120910c-01,AD23,1,1,p1,1,2,0,Euler,0.32,0.0533333333333333,0.311111111111111,0.44,0.565891472868217,L2,Upper
8,14,eulsef20120910c-01,AD24,1,1,p1,1,3,0,Euler,0.337777777777778,0.0577777777777778,0.346666666666667,0.466666666666667,0.581395348837209,L2,Upper
9,14,eulsef20120910c-01,AD25,1,1,p1,1,4,0,Euler,0.36,0.0311111111111111,0.297777777777778,0.457777777777778,0.589147286821705,L2,Upper
10,14,eulsef20120910c-01,AD26,1,1,p1,1,5,0,Euler,0.266666666666667,0.0488888888888889,0.195555555555556,0.32,0.465116279069767,L3,Upper
11,14,eulsef20120910c-01,AD27,1,1,p1,1,6,0,Euler,0.333333333333333,0.08,0.297777777777778,0.368888888888889,0.573643410852713,L3,Upper
12,14,eulsef20120910c-01,AD28,1,1,p1,1,7,0,Euler,0.253333333333333,0.0844444444444444,0.24,0.324444444444444,0.511627906976744,L3,Upper
13,14,eulsef20120910c-01,AD29,1,1,p1,1,8,0,Euler,0.266666666666667,0.0622222222222222,0.186666666666667,0.386666666666667,0.488372093023256,L3,Upper
14,14,eulsef20120910c-01,AD30,1,1,p1,1,9,0,Euler,0.244444444444444,0.0622222222222222,0.191111111111111,0.342222222222222,0.472868217054264,L5,Lower
15,14,eulsef20120910c-01,AD31,1,1,p1,1,10,0,Euler,0.191111111111111,0.0488888888888889,0.111111111111111,0.293333333333333,0.372093023255814,L5,Lower
16,14,eulsef20120910c-01,AD32,1,1,p1,1,11,0,Euler,0.168888888888889,0.0622222222222222,0.111111111111111,0.208888888888889,0.341085271317829,L5,Lower
17,14,eulsef20120910c-01,AD33,1,1,p1,1,12,0,Euler,0.133333333333333,0.0444444444444444,0.0533333333333333,0.155555555555556,0.263565891472868,L5,Lower
18,14,eulsef20120910c-01,AD34,1,1,p1,1,13,0,Euler,0.124444444444444,0.0488888888888889,0.0711111111111111,0.0844444444444444,0.178294573643411,L6,Lower
19,14,eulsef20120910c-01,AD35,1,1,p1,1,14,0,Euler,0.0488888888888889,0.0444444444444444,0.0355555555555556,0.0622222222222222,0.170542635658915,L6,Lower
20,14,eulsef20120910c-01,AD36,1,1,p1,1,15,0,Euler,0.0311111111111111,0.0444444444444444,0.00444444444444444,0.0355555555555556,0.131782945736434,L6,Lower
21,14,eulsef20120910c-01,AD37,1,1,p1,1,16,0,Euler,0.0355555555555556,0.0533333333333333,0,0.0177777777777778,0.116279069767442,L6,Lower
22,14,eulsef20120910c-01,AD38,1,1,p1,1,17,0,Euler,0.0311111111111111,0.0577777777777778,0,0.00888888888888889,0.10077519379845,L6,Lower
6,15,eulsef20120911c-01,AD22,1,1,p1,1,1,0,Euler,0.230538922155689,0.0508982035928144,0.18562874251497,0.236526946107784,0.443850267379679,L2,Upper
7,15,eulsef20120911c-01,AD23,1,1,p1,1,2,0,Euler,0.389221556886228,0.029940119760479,0.416167664670659,0.476047904191617,0.647058823529412,L2,Upper
8,15,eulsef20120911c-01,AD24,1,1,p1,1,3,0,Euler,0.341317365269461,0.0239520958083832,0.413173652694611,0.473053892215569,0.689839572192513,L2,Upper
9,15,eulsef20120911c-01,AD25,1,1,p1,1,4,0,Euler,0.374251497005988,0.0538922155688623,0.505988023952096,0.532934131736527,0.689839572192513,L2,Upper
10,15,eulsef20120911c-01,AD26,1,1,p1,1,5,0,Euler,0.365269461077844,0.0449101796407186,0.449101796407186,0.473053892215569,0.641711229946524,L3,Upper
11,15,eulsef20120911c-01,AD27,1,1,p1,1,6,0,Euler,0.335329341317365,0.0269461077844311,0.350299401197605,0.410179640718563,0.572192513368984,L3,Upper
12,15,eulsef20120911c-01,AD28,1,1,p1,1,7,0,Euler,0.311377245508982,0.0419161676646707,0.284431137724551,0.317365269461078,0.540106951871658,L3,Upper
13,15,eulsef20120911c-01,AD29,1,1,p1,1,8,0,Euler,0.284431137724551,0.0329341317365269,0.287425149700599,0.31437125748503,0.566844919786096,L3,Upper
14,15,eulsef20120911c-01,AD30,1,1,p1,1,9,0,Euler,0.287425149700599,0.0329341317365269,0.278443113772455,0.305389221556886,0.598930481283422,L5,Lower
15,15,eulsef20120911c-01,AD31,1,1,p1,1,10,0,Euler,0.230538922155689,0.0389221556886228,0.176646706586826,0.29940119760479,0.561497326203209,L5,Lower
16,15,eulsef20120911c-01,AD32,1,1,p1,1,11,0,Euler,0.18562874251497,0.0269461077844311,0.125748502994012,0.233532934131737,0.502673796791444,L5,Lower
17,15,eulsef20120911c-01,AD33,1,1,p1,1,12,0,Euler,0.12874251497006,0.0359281437125748,0.0449101796407186,0.167664670658683,0.449197860962567,L5,Lower
18,15,eulsef20120911c-01,AD34,1,1,p1,1,13,0,Euler,0.101796407185629,0.0359281437125748,0.0389221556886228,0.110778443113772,0.374331550802139,L6,Lower
19,15,eulsef20120911c-01,AD35,1,1,p1,1,14,0,Euler,0.0838323353293413,0.0568862275449102,0.0149700598802395,0.11377245508982,0.32620320855615,L6,Lower
20,15,eulsef20120911c-01,AD36,1,1,p1,1,15,0,Euler,0.0419161676646707,0.0329341317365269,0.0029940119760479,0.0479041916167665,0.27807486631016,L6,Lower
21,15,eulsef20120911c-01,AD37,1,1,p1,1,16,0,Euler,0.0359281437125748,0.0329341317365269,0.0029940119760479,0.0419161676646707,0.27807486631016,L6,Lower
22,15,eulsef20120911c-01,AD38,1,1,p1,1,17,0,Euler,0.0269461077844311,0.0239520958083832,0.0029940119760479,0.0329341317365269,0.272727272727273,L6,Lower
8,16,eulsef20120912c-01,AD24,1,1,p1,1,1,0,Euler,0.0553745928338762,0.0456026058631922,0.0521172638436482,0.0716612377850163,0.241610738255034,L2,Upper
9,16,eulsef20120912c-01,AD25,1,1,p1,1,2,0,Euler,0.214983713355049,0.0423452768729642,0.211726384364821,0.263843648208469,0.442953020134228,L2,Upper
10,16,eulsef20120912c-01,AD26,1,1,p1,1,3,0,Euler,0.283387622149837,0.0325732899022801,0.299674267100977,0.348534201954397,0.51006711409396,L2,Upper
11,16,eulsef20120912c-01,AD27,1,1,p1,1,4,0,Euler,0.39413680781759,0.0358306188925081,0.338762214983713,0.452768729641694,0.563758389261745,L2,Upper
12,16,eulsef20120912c-01,AD28,1,1,p1,1,5,0,Euler,0.374592833876221,0.0358306188925081,0.283387622149837,0.465798045602606,0.597315436241611,L3,Upper
13,16,eulsef20120912c-01,AD29,1,1,p1,1,6,0,Euler,0.315960912052117,0.0553745928338762,0.208469055374593,0.403908794788274,0.557046979865772,L3,Upper
14,16,eulsef20120912c-01,AD30,1,1,p1,1,7,0,Euler,0.289902280130293,0.0423452768729642,0.182410423452769,0.338762214983713,0.516778523489933,L3,Upper
15,16,eulsef20120912c-01,AD31,1,1,p1,1,8,0,Euler,0.257328990228013,0.0488599348534202,0.172638436482085,0.280130293159609,0.496644295302013,L3,Upper
16,16,eulsef20120912c-01,AD32,1,1,p1,1,9,0,Euler,0.208469055374593,0.0423452768729642,0.149837133550489,0.267100977198697,0.48993288590604,L5,Lower
17,16,eulsef20120912c-01,AD33,1,1,p1,1,10,0,Euler,0.208469055374593,0.0293159609120521,0.130293159609121,0.293159609120521,0.48993288590604,L5,Lower
18,16,eulsef20120912c-01,AD34,1,1,p1,1,11,0,Euler,0.205211726384365,0.0325732899022801,0.127035830618893,0.283387622149837,0.409395973154362,L5,Lower
19,16,eulsef20120912c-01,AD35,1,1,p1,1,12,0,Euler,0.169381107491857,0.0228013029315961,0.0651465798045603,0.218241042345277,0.38255033557047,L5,Lower
20,16,eulsef20120912c-01,AD36,1,1,p1,1,13,0,Euler,0.0781758957654723,0.0325732899022801,0.0456026058631922,0.153094462540717,0.248322147651007,L6,Lower
21,16,eulsef20120912c-01,AD37,1,1,p1,1,14,0,Euler,0.0684039087947883,0.0390879478827362,0.0358306188925081,0.159609120521173,0.241610738255034,L6,Lower
22,16,eulsef20120912c-01,AD38,1,1,p1,1,15,0,Euler,0.0716612377850163,0.0228013029315961,0.0260586319218241,0.127035830618893,0.261744966442953,L6,Lower
23,16,eulsef20120912c-01,AD39,1,1,p1,1,16,0,Euler,0.0586319218241042,0.0293159609120521,0.0162866449511401,0.0912052117263844,0.201342281879195,L6,Lower
24,16,eulsef20120912c-01,AD40,1,1,p1,1,17,0,Euler,0.0586319218241042,0.0358306188925081,0.0130293159609121,0.0846905537459283,0.201342281879195,L6,Lower
9,17,eulsef20120913c-01,AD25,1,1,p1,1,1,0,Euler,0.0371621621621622,0.0608108108108108,0.0608108108108108,0.0844594594594595,0.246376811594203,L2,Upper
10,17,eulsef20120913c-01,AD26,1,1,p1,1,2,0,Euler,0.108108108108108,0.0202702702702703,0.172297297297297,0.25,0.369565217391304,L2,Upper
11,17,eulsef20120913c-01,AD27,1,1,p1,1,3,0,Euler,0.314189189189189,0.0472972972972973,0.351351351351351,0.439189189189189,0.572463768115942,L2,Upper
12,17,eulsef20120913c-01,AD28,1,1,p1,1,4,0,Euler,0.405405405405405,0.0540540540540541,0.432432432432432,0.503378378378378,0.565217391304348,L2,Upper
13,17,eulsef20120913c-01,AD29,1,1,p1,1,5,0,Euler,0.412162162162162,0.0304054054054054,0.412162162162162,0.462837837837838,0.630434782608696,L3,Upper
14,17,eulsef20120913c-01,AD30,1,1,p1,1,6,0,Euler,0.364864864864865,0.0540540540540541,0.341216216216216,0.364864864864865,0.521739130434783,L3,Upper
